,POPULATION,STATE,YEAR
1,693972,11,2017
2,20984400,12,2017
3,10429379,13,2017
4,1427538,15,2017
5,1716943,16,2017
6,12802023,17,2017
7,6666818,18,2017
8,3145711,19,2017
9,2913123,20,2017
10,4454189,21,2017
11,4684333,22,2017
12,1335907,23,2017
13,6052177,24,2017
14,6859819,25,2017
15,4874747,01,2017
16,739795,02,2017
17,7016270,04,2017
18,3004279,05,2017
19,39536653,06,2017
20,5607154,08,2017
21,3588184,09,2017
22,961939,10,2017
23,9962311,26,2017
24,5576606,27,2017
25,2984100,28,2017
26,6113532,29,2017
27,1050493,30,2017
28,1920076,31,2017
29,2998039,32,2017
30,1342795,33,2017
31,9005644,34,2017
32,2088070,35,2017
33,19849399,36,2017
34,10273419,37,2017
35,755393,38,2017
36,11658609,39,2017
37,3930864,40,2017
38,4142776,41,2017
39,12805537,42,2017
40,1059639,44,2017
41,5024369,45,2017
42,869666,46,2017
43,6715984,47,2017
44,28304596,48,2017
45,3101833,49,2017
46,623657,50,2017
47,8470020,51,2017
48,7405743,53,2017
49,1815857,54,2017
50,5795483,55,2017
51,579315,56,2017
52,3337177,72,2017
1,4887871,01,2018
2,737438,02,2018
3,7171646,04,2018
4,3013825,05,2018
5,39557045,06,2018
6,5695564,08,2018
7,3572665,09,2018
8,967171,10,2018
9,702455,11,2018
10,21299325,12,2018
11,10519475,13,2018
12,1420491,15,2018
13,1754208,16,2018
14,12741080,17,2018
15,6691878,18,2018
16,3156145,19,2018
17,2911505,20,2018
18,4468402,21,2018
19,4659978,22,2018
20,1338404,23,2018
21,6042718,24,2018
22,6902149,25,2018
23,9995915,26,2018
24,5611179,27,2018
25,2986530,28,2018
26,6126452,29,2018
27,1062305,30,2018
28,1929268,31,2018
29,3034392,32,2018
30,1356458,33,2018
31,8908520,34,2018
32,2095428,35,2018
33,19542209,36,2018
34,10383620,37,2018
35,760077,38,2018
36,11689442,39,2018
37,3943079,40,2018
38,4190713,41,2018
39,12807060,42,2018
40,1057315,44,2018
41,5084127,45,2018
42,882235,46,2018
43,6770010,47,2018
44,28701845,48,2018
45,3161105,49,2018
46,626299,50,2018
47,8517685,51,2018
48,7535591,53,2018
49,1805832,54,2018
50,5813568,55,2018
51,577737,56,2018
52,3195153,72,2018
1,4903185,01,2019
2,731545,02,2019
3,7278717,04,2019
4,3017804,05,2019
5,39512223,06,2019
6,5758736,08,2019
7,973764,10,2019
8,705749,11,2019
9,3565287,09,2019
10,21477737,12,2019
11,10617423,13,2019
12,1787065,16,2019
13,1415872,15,2019
14,12671821,17,2019
15,6732219,18,2019
16,3155070,19,2019
17,2913314,20,2019
18,4467673,21,2019
19,4648794,22,2019
20,1344212,23,2019
21,6045680,24,2019
22,6892503,25,2019
23,9986857,26,2019
24,5639632,27,2019
25,2976149,28,2019
26,6137428,29,2019
27,1068778,30,2019
28,1934408,31,2019
29,3080156,32,2019
30,1359711,33,2019
31,8882190,34,2019
32,2096829,35,2019
33,19453561,36,2019
34,10488084,37,2019
35,762062,38,2019
36,11689100,39,2019
37,3956971,40,2019
38,4217737,41,2019
39,12801989,42,2019
40,1059361,44,2019
41,5148714,45,2019
42,884659,46,2019
43,6829174,47,2019
44,28995881,48,2019
45,623989,50,2019
46,3205958,49,2019
47,8535519,51,2019
48,7614893,53,2019
49,1792147,54,2019
50,5822434,55,2019
51,578759,56,2019
52,3193694,72,2019
